home_team,away_team,matchweek
Bournemouth,Man United,31
Brighton,Liverpool,31
Fulham,Burnley,31
Everton,Chelsea,31
Leeds,Brentford,31
Newcastle,Sunderland,31
Aston Villa,West Ham,31
Tottenham,Nott'm Forest,31
West Ham,Wolves,32
Arsenal,Bournemouth,32
Brentford,Everton,32
Burnley,Brighton,32
Crystal Palace,Newcastle,32
Nott'm Forest,Aston Villa,32
Liverpool,Fulham,32
Sunderland,Tottenham,32
Chelsea,Man City,32
Man United,Leeds,32
Brentford,Fulham,33
Aston Villa,Sunderland,33
Leeds,Wolves,33
Newcastle,Bournemouth,33
Nott'm Forest,Burnley,33
Tottenham,Brighton,33
Chelsea,Man United,33
Everton,Liverpool,33
Man City,Arsenal,33
Crystal Palace,West Ham,33
Sunderland,Nott'm Forest,34
Fulham,Aston Villa,34
Bournemouth,Leeds,34
Liverpool,Crystal Palace,34
West Ham,Everton,34
Wolves,Tottenham,34
Arsenal,Newcastle,34
Burnley,Man City,34
Brighton,Chelsea,34
Man United,Brentford,34
Bournemouth,Crystal Palace,35
Arsenal,Fulham,35
Aston Villa,Tottenham,35
Brentford,West Ham,35
Chelsea,Nott'm Forest,35
Everton,Man City,35
Leeds,Burnley,35
Man United,Liverpool,35
Newcastle,Brighton,35
Wolves,Sunderland,35
Brighton,Wolves,36
Burnley,Aston Villa,36
Crystal Palace,Everton,36
Fulham,Bournemouth,36
Liverpool,Chelsea,36
Man City,Brentford,36
Nott'm Forest,Newcastle,36
Sunderland,Man United,36
Tottenham,Leeds,36
West Ham,Arsenal,36
Bournemouth,Man City,37
Arsenal,Burnley,37
Aston Villa,Liverpool,37
Brentford,Crystal Palace,37
Chelsea,Tottenham,37
Everton,Sunderland,37
Leeds,Brighton,37
Man United,Nott'm Forest,37
Newcastle,West Ham,37
Wolves,Fulham,37
Brighton,Man United,38
Burnley,Wolves,38
Crystal Palace,Arsenal,38
Fulham,Newcastle,38
Liverpool,Brentford,38
Man City,Aston Villa,38
Nott'm Forest,Bournemouth,38
Sunderland,Chelsea,38
Tottenham,Everton,38
West Ham,Leeds,38
